1FDL_Name,1FDL_LON,1FDL_LAT,1FDL_RA,1FDL_DEC,1FDL_Flux1000,1FDL_68Conf_Radius,1FDL_95Conf_Radius,matched_DR2,DR2_Source_Name,DR2_GLON,DR2_GLAT,DR2_CLASS1,DR2_Flux1000,DR2_ASSOC1
1FDL J1836.3+5926,88.9025519045458,24.9822780125439,279.09959668134,59.445793689268,7.88024282096933e-08,0.018535834,0.030054425,True,4FGL J1836.2+5925,88.8782653808594,25.000617980957,PSR,1.0378730053162145e-07,PSR J1836+5925
1FDL J1911.2+0903,43.2333828304155,-0.230088923479142,287.803876088631,9.05147165865866,9.47222487820354e-09,0.0234674851322508,0.0380507179548211,True,4FGL J1911.0+0905,43.2515029907227,-0.176113933324814,snr,1.7717896483304685e-08,W 49B
1FDL J1848.0-0135,31.1303240077612,0.0346854725039378,282.006884044453,-1.58752622016313,9.400344289202926e-09,0.126625328571488,0.205313192452892,True,4FGL J1848.7-0129,31.2961578369141,-0.0956621468067169,glc,7.310100524904328e-09,GLIMPSE C01
1FDL J0534.5+2159,184.584143475492,-5.78919963982053,83.6439987584933,21.9894817689431,1.475188506349731e-07,0.021196788,0.03436896,True,4FGL J0534.5+2200,184.55891418457,-5.78131341934204,PSR,1.553893014261121e-07,PSR J0534+2200
1FDL J1427.7-4205,321.424802116046,17.2893323090515,216.948128505202,-42.0962582515595,2.9076802059238314e-08,0.023663215,0.03836808,True,4FGL J1427.9-4206,321.448547363281,17.269458770752,FSRQ,3.9366859994061094e-08,PKS 1424-41
1FDL J1800.4+7829,110.058501816335,29.0768466765501,270.120849114734,78.4845506310004,9.188409877363282e-09,0.0268870652676232,0.0435953047476519,True,4FGL J1800.6+7828,110.037628173828,29.0684757232666,bll,5.165034178133965e-09,S5 1803+784
1FDL J1028.6-5817,285.074202860487,-0.46776945452586,157.159102636768,-58.2991933120579,2.8783892232711185e-08,0.023352692,0.037864585,True,4FGL J1028.5-5819,285.070617675781,-0.491832762956619,PSR,3.3484877093314935e-08,PSR J1028-5819
1FDL J0224.5+6200,133.62595962437,1.09297371135963,36.1493670398316,62.0148897092056,9.04109831733178e-09,0.0551873295493854,0.0894819966606975,True,4FGL J0222.4+6156e,133.418853759766,0.936178624629974,snr,1.2519015157863578e-08,W 3
1FDL J1724.8+1158,34.1920488208894,24.5627482235919,261.214477404086,11.9670274119853,8.825572359291946e-09,0.0228304289594748,0.0370177817844699,True,4FGL J1725.0+1152,34.1252746582031,24.4738311767578,bll,3.985132224215704e-09,1H 1720+117
1FDL J1748.1-2814,0.876482950939299,-0.106384727888596,267.026436973861,-28.242072250374,8.783509593967675e-09,0.0591407548938854,0.0958921712868043,False,,,,,,
1FDL J0538.2-6914,279.636031667344,-31.6969223907099,84.5595054622354,-69.2424704868917,3.484248485991394e-09,0.0614664624339661,0.0996631273852755,True,4FGL J0540.3-6920,279.722930908203,-31.5001316070557,PSR,2.407283705707641e-09,PSR J0540-6919
1FDL J1813.3-1245,17.2456366088058,2.47037961033376,273.326428699207,-12.752986409021,2.7344960224879434e-08,0.026287006749936,0.0426223567477857,True,4FGL J1813.4-1246,17.2440547943115,2.44247221946716,PSR,2.8099934823444528e-08,PSR J1813-1246
